Team 1,Team 2,Winner,Margin,Ground,Match Date,Match_id
Gujarat Titans,Chennai Super Kings,Gujarat Titans,5 wickets,Ahmedabad,"Mar 31, 2023",1
Punjab Kings,Kolkata Knight Riders,Punjab Kings,7 runs,Mohali,"Apr 1, 2023",2
Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50 runs,Lucknow,"Apr 1, 2023",3
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,72 runs,Hyderabad,"Apr 2, 2023",4
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,8 wickets,Bengaluru,"Apr 2, 2023",5
Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,12 runs,Chennai,"Apr 3, 2023",6
Delhi Capitals,Gujarat Titans,Gujarat Titans,6 wickets,Delhi,"Apr 4, 2023",7
Rajasthan Royals,Punjab Kings,Punjab Kings,5 runs,Guwahati,"Apr 5, 2023",8
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,81 runs,Eden Gardens,"Apr 6, 2023",9
Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,5 wickets,Lucknow,"Apr 7, 2023",10
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,57 runs,Guwahati,"Apr 8, 2023",11
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7 wickets,Wankhede,"Apr 8, 2023",12
Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,3 wickets,Ahmedabad,"Apr 9, 2023",13
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,8 wickets,Hyderabad,"Apr 9, 2023",14
Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,1 wicket,Bengaluru,"Apr 10, 2023",15
Delhi Capitals,Mumbai Indians,Mumbai Indians,6 wickets,Delhi,"Apr 11, 2023",16
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,3 runs,Chennai,"Apr 12, 2023",17
Punjab Kings,Gujarat Titans,Gujarat Titans,6 wickets,Mohali,"Apr 13, 2023",18
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,23 runs,Eden Gardens,"Apr 14, 2023",19
Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,23 runs,Bengaluru,"Apr 15, 2023",20
Lucknow Super Giants,Punjab Kings,Punjab Kings,2 wickets,Lucknow,"Apr 15, 2023",21
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,5 wickets,Wankhede,"Apr 16, 2023",22
Gujarat Titans,Rajasthan Royals,Rajasthan Royals,3 wickets,Ahmedabad,"Apr 16, 2023",23
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,8 runs,Bengaluru,"Apr 17, 2023",24
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,14 runs,Hyderabad,"Apr 18, 2023",25
Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,10 runs,Jaipur,"Apr 19, 2023",26
Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,24 runs,Mohali,"Apr 20, 2023",27
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,4 wickets,Delhi,"Apr 20, 2023",28
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,7 wickets,Chennai,"Apr 21, 2023",29
Lucknow Super Giants,Gujarat Titans,Gujarat Titans,7 runs,Lucknow,"Apr 22, 2023",30
Mumbai Indians,Punjab Kings,Punjab Kings,13 runs,Wankhede,"Apr 22, 2023",31
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,7 runs,Bengaluru,"Apr 23, 2023",32
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,49 runs,Eden Gardens,"Apr 23, 2023",33
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,7 runs,Hyderabad,"Apr 24, 2023",34
Gujarat Titans,Mumbai Indians,Gujarat Titans,55 runs,Ahmedabad,"Apr 25, 2023",35
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,21 runs,Bengaluru,"Apr 26, 2023",36
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,32 runs,Jaipur,"Apr 27, 2023",37
Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,56 runs,Mohali,"Apr 28, 2023",38
Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,7 wickets,Eden Gardens,"Apr 29, 2023",39
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,9 runs,Delhi,"Apr 29, 2023",40
Chennai Super Kings,Punjab Kings,Punjab Kings,4 wickets,Chennai,"Apr 30, 2023",41
Mumbai Indians,Rajasthan Royals,Mumbai Indians,6 wickets,Wankhede,"Apr 30, 2023",42
Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,18 runs,Lucknow,"May 1, 2023",43
Gujarat Titans,Delhi Capitals,Delhi Capitals,5 runs,Ahmedabad,"May 2, 2023",44
Lucknow Super Giants,Chennai Super Kings,no result,-,Lucknow,"May 3, 2023",45
Punjab Kings,Mumbai Indians,Mumbai Indians,6 wickets,Mohali,"May 3, 2023",46
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,5 runs,Hyderabad,"May 4, 2023",47
Rajasthan Royals,Gujarat Titans,Gujarat Titans,9 wickets,Jaipur,"May 5, 2023",48
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,6 wickets,Chennai,"May 6, 2023",49
Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,7 wickets,Delhi,"May 6, 2023",50
Gujarat Titans,Lucknow Super Giants,Gujarat Titans,56 runs,Ahmedabad,"May 7, 2023",51
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,4 wickets,Jaipur,"May 7, 2023",52
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,5 wickets,Eden Gardens,"May 8, 2023",53
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,6 wickets,Wankhede,"May 9, 2023",54
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,27 runs,Chennai,"May 10, 2023",55
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,9 wickets,Eden Gardens,"May 11, 2023",56
Mumbai Indians,Gujarat Titans,Mumbai Indians,27 runs,Wankhede,"May 12, 2023",57
Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,7 wickets,Hyderabad,"May 13, 2023",58
Delhi Capitals,Punjab Kings,Punjab Kings,31 runs,Delhi,"May 13, 2023",59
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,112 runs,Jaipur,"May 14, 2023",60
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,6 wickets,Chennai,"May 14, 2023",61
Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,34 runs,Ahmedabad,"May 15, 2023",62
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,5 runs,Lucknow,"May 16, 2023",63
Punjab Kings,Delhi Capitals,Delhi Capitals,15 runs,Dharamsala,"May 17, 2023",64
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,8 wickets,Hyderabad,"May 18, 2023",65
Punjab Kings,Rajasthan Royals,Rajasthan Royals,4 wickets,Dharamsala,"May 19, 2023",66
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,77 runs,Delhi,"May 20, 2023",67
Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,1 run,Eden Gardens,"May 20, 2023",68
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,8 wickets,Wankhede,"May 21, 2023",69
Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,6 wickets,Bengaluru,"May 21, 2023",70
Chennai Super Kings,Gujarat Titans,Chennai Super Kings,15 runs,Chennai,"May 23, 2023",71
Lucknow Super Giants,Mumbai Indians,Mumbai Indians,81 runs,Chennai,"May 24, 2023",72
Gujarat Titans,Mumbai Indians,Gujarat Titans,62 runs,Ahmedabad,"May 26, 2023",73
Gujarat Titans,Chennai Super Kings,Chennai Super Kings,5 wickets,Ahmedabad,"May 29, 2023",74
