match,team_innings,batting_position,batsman_name,,runs,balls,minutes,fours,sixes,strike_rate,out/notout,match_id
England Vs New Zealand,England,1,Jonny Bairstow ,c Mitchell b Santner,33,35,57,4,1,94.28,out,1
England Vs New Zealand,England,2,Dawid Malan ,c †Latham b Henry,14,24,36,2,0,58.33,out,1
England Vs New Zealand,England,3,Joe Root ,b Phillips,77,86,140,4,1,89.53,out,1
England Vs New Zealand,England,4,Harry Brook ,c Conway b Ravindra,25,16,20,4,1,156.25,out,1
England Vs New Zealand,England,5,Moeen Ali ,b Phillips,11,17,20,1,0,64.7,out,1
England Vs New Zealand,England,6,Jos Buttler (c)†,c †Latham b Henry,43,42,48,2,2,102.38,out,1
England Vs New Zealand,England,7,Liam Livingstone ,c Henry b Boult,20,22,23,3,0,90.9,out,1
England Vs New Zealand,England,8,Sam Curran ,c †Latham b Henry,14,19,30,0,0,73.68,out,1
England Vs New Zealand,England,9,Chris Woakes ,c Young b Santner,11,12,15,1,0,91.66,out,1
England Vs New Zealand,England,10,Adil Rashid ,not out,15,13,23,0,1,115.38,not out,1
England Vs New Zealand,England,11,Mark Wood ,not out,13,14,19,0,0,92.85,not out,1
England Vs New Zealand,New Zealand,1,Devon Conway ,not out,152,121,147,19,3,125.61,not out,1
England Vs New Zealand,New Zealand,2,Will Young ,c †Buttler b Curran,0,1,5,0,0,0,out,1
England Vs New Zealand,New Zealand,3,Rachin Ravindra ,not out,123,96,141,11,5,128.12,not out,1
Pakistan Vs Netherlands,Pakistan,1,Fakhar Zaman ,c & b van Beek,12,15,14,3,0,80,out,2
Pakistan Vs Netherlands,Pakistan,2,Imam-ul-Haq ,c Dutt b van Meekeren,15,19,40,2,0,78.94,out,2
Pakistan Vs Netherlands,Pakistan,3,Babar Azam (c),c Saqib Zulfiqar b Ackermann,5,18,20,0,0,27.77,out,2
Pakistan Vs Netherlands,Pakistan,4,Mohammad Rizwan †,b de Leede,68,75,104,8,0,90.66,out,2
Pakistan Vs Netherlands,Pakistan,5,Saud Shakeel ,c Saqib Zulfiqar b Dutt,68,52,84,9,1,130.76,out,2
Pakistan Vs Netherlands,Pakistan,6,Iftikhar Ahmed ,c †Edwards b de Leede,9,11,22,1,0,81.81,out,2
Pakistan Vs Netherlands,Pakistan,7,Mohammad Nawaz ,run out (van Meekeren/Ackermann),39,43,66,4,0,90.69,out,2
Pakistan Vs Netherlands,Pakistan,8,Shadab Khan ,b de Leede,32,34,42,2,1,94.11,out,2
Pakistan Vs Netherlands,Pakistan,9,Hasan Ali ,lbw b de Leede,0,1,2,0,0,0,out,2
Pakistan Vs Netherlands,Pakistan,10,Shaheen Shah Afridi ,not out,13,12,23,2,0,108.33,not out,2
Pakistan Vs Netherlands,Pakistan,11,Haris Rauf ,st †Edwards b Ackermann,16,14,10,2,1,114.28,out,2
Pakistan Vs Netherlands,Netherlands,1,Vikramjit Singh ,c Fakhar Zaman b Shadab Khan,52,67,97,4,1,77.61,out,2
Pakistan Vs Netherlands,Netherlands,2,Max O'Dowd ,c Shaheen Shah Afridi b Hasan Ali,5,12,24,1,0,41.66,out,2
Pakistan Vs Netherlands,Netherlands,3,Colin Ackermann ,b Iftikhar Ahmed,17,21,24,3,0,80.95,out,2
Pakistan Vs Netherlands,Netherlands,4,Bas de Leede ,b Mohammad Nawaz,67,68,92,6,2,98.52,out,2
Pakistan Vs Netherlands,Netherlands,5,Teja Nidamanuru ,c Fakhar Zaman b Haris Rauf,5,9,10,1,0,55.55,out,2
Pakistan Vs Netherlands,Netherlands,6,Scott Edwards (c)†,lbw b Haris Rauf,0,2,2,0,0,0,out,2
Pakistan Vs Netherlands,Netherlands,7,Saqib Zulfiqar ,lbw b Shaheen Shah Afridi,10,18,24,1,0,55.55,out,2
Pakistan Vs Netherlands,Netherlands,8,Roelof van der Merwe ,run out (Babar Azam/†Mohammad Rizwan),4,7,18,0,0,57.14,out,2
Pakistan Vs Netherlands,Netherlands,9,Logan van Beek ,not out,28,28,36,3,1,100,not out,2
Pakistan Vs Netherlands,Netherlands,10,Aryan Dutt ,b Hasan Ali,1,2,6,0,0,50,out,2
Pakistan Vs Netherlands,Netherlands,11,Paul van Meekeren ,b Haris Rauf,7,12,17,1,0,58.33,out,2
Afghanistan Vs Bangladesh,Afghanistan,1,Rahmanullah Gurbaz †,c Tanzid Hasan b Mustafizur Rahman,47,62,112,4,1,75.8,out,3
Afghanistan Vs Bangladesh,Afghanistan,2,Ibrahim Zadran ,c Tanzid Hasan b Shakib Al Hasan,22,25,41,3,1,88,out,3
Afghanistan Vs Bangladesh,Afghanistan,3,Rahmat Shah ,c Litton Das b Shakib Al Hasan,18,25,30,1,0,72,out,3
Afghanistan Vs Bangladesh,Afghanistan,4,Hashmatullah Shahidi (c),c Towhid Hridoy b Mehidy Hasan Miraz,18,38,34,2,0,47.36,out,3
Afghanistan Vs Bangladesh,Afghanistan,5,Najibullah Zadran ,b Shakib Al Hasan,5,13,16,0,0,38.46,out,3
Afghanistan Vs Bangladesh,Afghanistan,6,Mohammad Nabi ,b Taskin Ahmed,6,12,19,0,0,50,out,3
Afghanistan Vs Bangladesh,Afghanistan,7,Azmatullah Omarzai ,b Shoriful Islam,22,20,32,4,0,110,out,3
Afghanistan Vs Bangladesh,Afghanistan,8,Rashid Khan ,b Mehidy Hasan Miraz,9,16,16,1,0,56.25,out,3
Afghanistan Vs Bangladesh,Afghanistan,9,Mujeeb Ur Rahman ,b Mehidy Hasan Miraz,1,4,9,0,0,25,out,3
Afghanistan Vs Bangladesh,Afghanistan,10,Naveen-ul-Haq ,c Towhid Hridoy b Shoriful Islam,0,6,8,0,0,0,out,3
Afghanistan Vs Bangladesh,Afghanistan,11,Fazalhaq Farooqi ,not out,0,3,3,0,0,0,not out,3
Afghanistan Vs Bangladesh,Bangladesh,1,Tanzid Hasan ,run out (Najibullah Zadran),5,13,19,1,0,38.46,out,3
Afghanistan Vs Bangladesh,Bangladesh,2,Litton Das ,b Fazalhaq Farooqi,13,18,29,2,0,72.22,out,3
Afghanistan Vs Bangladesh,Bangladesh,3,Mehidy Hasan Miraz ,c Rahmat Shah b Naveen-ul-Haq,57,73,89,5,0,78.08,out,3
Afghanistan Vs Bangladesh,Bangladesh,4,Najmul Hossain Shanto ,not out,59,83,112,3,1,71.08,not out,3
Afghanistan Vs Bangladesh,Bangladesh,5,Shakib Al Hasan (c),c Fazalhaq Farooqi b Azmatullah Omarzai,14,19,24,2,0,73.68,out,3
Afghanistan Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim †,not out,2,3,6,0,0,66.66,not out,3
South Africa Vs Sri Lanka,South Africa,1,Quinton de Kock †,c de Silva b Pathirana,100,84,140,12,3,119.04,out,4
South Africa Vs Sri Lanka,South Africa,2,Temba Bavuma (c),lbw b Madushanka,8,5,9,2,0,160,out,4
South Africa Vs Sri Lanka,South Africa,3,Rassie van der Dussen ,c Samarawickrama b Wellalage,108,110,161,13,2,98.18,out,4
South Africa Vs Sri Lanka,South Africa,4,Aiden Markram ,c Rajitha b Madushanka,106,54,84,14,3,196.29,out,4
South Africa Vs Sri Lanka,South Africa,5,Heinrich Klaasen ,c Shanaka b Rajitha,32,20,30,1,3,160,out,4
South Africa Vs Sri Lanka,South Africa,6,David Miller ,not out,39,21,36,3,2,185.71,not out,4
South Africa Vs Sri Lanka,South Africa,7,Marco Jansen ,not out,12,7,15,0,1,171.42,not out,4
South Africa Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka ,b Jansen,0,3,6,0,0,0,out,4
South Africa Vs Sri Lanka,Sri Lanka,2,Kusal Perera ,b Jansen,7,15,42,1,0,46.66,out,4
South Africa Vs Sri Lanka,Sri Lanka,3,Kusal Mendis †,c †Klaasen b Rabada,76,42,55,4,8,180.95,out,4
South Africa Vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama ,c Jansen b Coetzee,23,19,22,3,1,121.05,out,4
South Africa Vs Sri Lanka,Sri Lanka,5,Charith Asalanka ,c sub (RR Hendricks) b Ngidi,79,65,83,8,4,121.53,out,4
South Africa Vs Sri Lanka,Sri Lanka,6,Dhananjaya de Silva ,c sub (AL Phehlukwayo) b Maharaj,11,14,28,1,0,78.57,out,4
South Africa Vs Sri Lanka,Sri Lanka,7,Dasun Shanaka (c),b Maharaj,68,62,86,6,3,109.67,out,4
South Africa Vs Sri Lanka,Sri Lanka,8,Dunith Wellalage ,c †Klaasen b Coetzee,0,1,2,0,0,0,out,4
South Africa Vs Sri Lanka,Sri Lanka,9,Kasun Rajitha ,c Markram b Coetzee,33,31,52,4,1,106.45,out,4
South Africa Vs Sri Lanka,Sri Lanka,10,Matheesha Pathirana ,b Rabada,5,16,25,1,0,31.25,out,4
South Africa Vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka ,not out,4,2,4,1,0,200,not out,4
Australia Vs India,Australia,1,David Warner ,c & b Kuldeep Yadav,41,52,76,6,0,78.84,out,5
Australia Vs India,Australia,2,Mitchell Marsh ,c Kohli b Bumrah,0,6,11,0,0,0,out,5
Australia Vs India,Australia,3,Steven Smith ,b Jadeja,46,71,112,5,0,64.78,out,5
Australia Vs India,Australia,4,Marnus Labuschagne ,c †Rahul b Jadeja,27,41,58,1,0,65.85,out,5
Australia Vs India,Australia,5,Glenn Maxwell ,b Kuldeep Yadav,15,25,44,1,0,60,out,5
Australia Vs India,Australia,6,Alex Carey †,lbw b Jadeja,0,2,1,0,0,0,out,5
Australia Vs India,Australia,7,Cameron Green ,c Pandya b Ashwin,8,20,31,0,0,40,out,5
Australia Vs India,Australia,8,Pat Cummins (c),c Iyer b Bumrah,15,24,26,1,1,62.5,out,5
Australia Vs India,Australia,9,Mitchell Starc ,c Iyer b Mohammed Siraj,28,35,58,2,1,80,out,5
Australia Vs India,Australia,10,Adam Zampa ,c Kohli b Pandya,6,20,28,0,0,30,out,5
Australia Vs India,Australia,11,Josh Hazlewood ,not out,1,1,6,0,0,100,not out,5
Australia Vs India,India,1,Rohit Sharma (c),lbw b Hazlewood,0,6,10,0,0,0,out,5
Australia Vs India,India,2,Ishan Kishan ,c Green b Starc,0,1,3,0,0,0,out,5
Australia Vs India,India,3,Virat Kohli ,c Labuschagne b Hazlewood,85,116,171,6,0,73.27,out,5
Australia Vs India,India,4,Shreyas Iyer ,c Warner b Hazlewood,0,3,2,0,0,0,out,5
Australia Vs India,India,5,KL Rahul †,not out,97,115,180,8,2,84.34,not out,5
Australia Vs India,India,6,Hardik Pandya ,not out,11,8,17,0,1,137.5,not out,5
New Zealand Vs Netherlands,New Zealand,1,Devon Conway ,c de Leede b van der Merwe,32,40,51,5,1,80,out,6
New Zealand Vs Netherlands,New Zealand,2,Will Young ,c de Leede b van Meekeren,70,80,106,7,2,87.5,out,6
New Zealand Vs Netherlands,New Zealand,3,Rachin Ravindra ,c †Edwards b van der Merwe,51,51,87,3,1,100,out,6
New Zealand Vs Netherlands,New Zealand,4,Daryl Mitchell ,b van Meekeren,48,47,67,5,2,102.12,out,6
New Zealand Vs Netherlands,New Zealand,5,Tom Latham (c)†,st †Edwards b Dutt,53,46,72,6,1,115.21,out,6
New Zealand Vs Netherlands,New Zealand,6,Glenn Phillips ,c †Edwards b de Leede,4,4,6,1,0,100,out,6
New Zealand Vs Netherlands,New Zealand,7,Mark Chapman ,c van der Merwe b Dutt,5,13,11,0,0,38.46,out,6
New Zealand Vs Netherlands,New Zealand,8,Mitchell Santner ,not out,36,17,25,3,2,211.76,not out,6
New Zealand Vs Netherlands,New Zealand,9,Matt Henry ,not out,10,4,6,0,1,250,not out,6
New Zealand Vs Netherlands,Netherlands,1,Vikramjit Singh ,b Henry,12,20,22,1,0,60,out,6
New Zealand Vs Netherlands,Netherlands,2,Max O'Dowd ,lbw b Santner,16,31,40,2,0,51.61,out,6
New Zealand Vs Netherlands,Netherlands,3,Colin Ackermann ,c Henry b Santner,69,73,98,5,0,94.52,out,6
New Zealand Vs Netherlands,Netherlands,4,Bas de Leede ,c Boult b Ravindra,18,25,21,3,0,72,out,6
New Zealand Vs Netherlands,Netherlands,5,Teja Nidamanuru ,run out (Ferguson/†Latham),21,26,28,2,1,80.76,out,6
New Zealand Vs Netherlands,Netherlands,6,Scott Edwards (c)†,c & b Santner,30,27,37,2,1,111.11,out,6
New Zealand Vs Netherlands,Netherlands,7,Sybrand Engelbrecht ,c Conway b Henry,29,34,55,3,0,85.29,out,6
New Zealand Vs Netherlands,Netherlands,8,Roelof van der Merwe ,c Henry b Santner,1,6,9,0,0,16.66,out,6
New Zealand Vs Netherlands,Netherlands,9,Ryan Klein ,lbw b Santner,8,15,23,0,0,53.33,out,6
New Zealand Vs Netherlands,Netherlands,10,Aryan Dutt ,b Henry,11,20,19,0,1,55,out,6
New Zealand Vs Netherlands,Netherlands,11,Paul van Meekeren ,not out,4,3,5,1,0,133.33,not out,6
England Vs Bangladesh,England,1,Jonny Bairstow ,b Shakib Al Hasan,52,59,80,8,0,88.13,out,7
England Vs Bangladesh,England,2,Dawid Malan ,b Mahedi Hasan,140,107,106,16,5,130.84,out,7
England Vs Bangladesh,England,3,Joe Root ,c †Mushfiqur Rahim b Shoriful Islam,82,68,107,8,1,120.58,out,7
England Vs Bangladesh,England,4,Jos Buttler (c)†,b Shoriful Islam,20,10,11,1,1,200,out,7
England Vs Bangladesh,England,5,Harry Brook ,c Litton Das b Mahedi Hasan,20,15,23,3,0,133.33,out,7
England Vs Bangladesh,England,6,Liam Livingstone ,b Shoriful Islam,0,1,1,0,0,0,out,7
England Vs Bangladesh,England,7,Sam Curran ,c Najmul Hossain Shanto b Mahedi Hasan,11,15,20,1,0,73.33,out,7
England Vs Bangladesh,England,8,Chris Woakes ,c Mahedi Hasan b Taskin Ahmed,14,11,21,2,0,127.27,out,7
England Vs Bangladesh,England,9,Adil Rashid ,c Najmul Hossain Shanto b Mahedi Hasan,11,7,8,1,0,157.14,out,7
England Vs Bangladesh,England,10,Mark Wood ,not out,6,5,6,1,0,120,not out,7
England Vs Bangladesh,England,11,Reece Topley ,not out,1,2,2,0,0,50,not out,7
England Vs Bangladesh,Bangladesh,1,Litton Das ,c †Buttler b Woakes,76,66,99,7,2,115.15,out,7
England Vs Bangladesh,Bangladesh,2,Tanzid Hasan ,c Bairstow b Topley,1,2,7,0,0,50,out,7
England Vs Bangladesh,Bangladesh,3,Najmul Hossain Shanto ,c Livingstone b Topley,0,1,1,0,0,0,out,7
England Vs Bangladesh,Bangladesh,4,Shakib Al Hasan (c),b Topley,1,9,16,0,0,11.11,out,7
England Vs Bangladesh,Bangladesh,5,Mehidy Hasan Miraz ,c †Buttler b Woakes,8,7,12,1,0,114.28,out,7
England Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim †,c Rashid b Topley,51,64,93,4,0,79.68,out,7
England Vs Bangladesh,Bangladesh,7,Towhid Hridoy ,c †Buttler b Livingstone,39,61,70,2,0,63.93,out,7
England Vs Bangladesh,Bangladesh,8,Mahedi Hasan ,b Rashid,14,32,39,1,0,43.75,out,7
England Vs Bangladesh,Bangladesh,9,Taskin Ahmed ,b Curran,15,25,35,0,1,60,out,7
England Vs Bangladesh,Bangladesh,10,Shoriful Islam ,b Wood,12,14,17,2,0,85.71,out,7
England Vs Bangladesh,Bangladesh,11,Mustafizur Rahman ,not out,3,9,12,0,0,33.33,not out,7
Sri Lanka Vs Pakistan,Sri Lanka,1,Pathum Nissanka ,c Abdullah Shafique b Shadab Khan,51,61,79,7,1,83.6,out,8
Sri Lanka Vs Pakistan,Sri Lanka,2,Kusal Perera ,c †Mohammad Rizwan b Hasan Ali,0,4,7,0,0,0,out,8
Sri Lanka Vs Pakistan,Sri Lanka,3,Kusal Mendis †,c Imam-ul-Haq b Hasan Ali,122,77,124,14,6,158.44,out,8
Sri Lanka Vs Pakistan,Sri Lanka,4,Sadeera Samarawickrama ,c †Mohammad Rizwan b Hasan Ali,108,89,139,11,2,121.34,out,8
Sri Lanka Vs Pakistan,Sri Lanka,5,Charith Asalanka ,c †Mohammad Rizwan b Hasan Ali,1,3,5,0,0,33.33,out,8
Sri Lanka Vs Pakistan,Sri Lanka,6,Dhananjaya de Silva ,c Shaheen Shah Afridi b Mohammad Nawaz,25,34,47,3,0,73.52,out,8
Sri Lanka Vs Pakistan,Sri Lanka,7,Dasun Shanaka (c),c Babar Azam b Shaheen Shah Afridi,12,18,23,0,0,66.66,out,8
Sri Lanka Vs Pakistan,Sri Lanka,8,Dunith Wellalage ,c Abdullah Shafique b Haris Rauf,10,8,18,1,0,125,out,8
Sri Lanka Vs Pakistan,Sri Lanka,9,Maheesh Theekshana ,b Haris Rauf,0,4,6,0,0,0,out,8
Sri Lanka Vs Pakistan,Sri Lanka,10,Matheesha Pathirana ,not out,1,3,3,0,0,33.33,not out,8
Sri Lanka Vs Pakistan,Pakistan,1,Abdullah Shafique ,c sub (MADI Hemantha) b Pathirana,113,103,150,10,3,109.7,out,8
Sri Lanka Vs Pakistan,Pakistan,2,Imam-ul-Haq ,c Perera b Madushanka,12,12,15,1,0,100,out,8
Sri Lanka Vs Pakistan,Pakistan,3,Babar Azam (c),c †Samarawickrama b Madushanka,10,15,17,1,0,66.66,out,8
Sri Lanka Vs Pakistan,Pakistan,4,Mohammad Rizwan †,not out,131,121,193,8,3,108.26,not out,8
Sri Lanka Vs Pakistan,Pakistan,5,Saud Shakeel ,c Wellalage b Theekshana,31,30,57,2,0,103.33,out,8
Sri Lanka Vs Pakistan,Pakistan,6,Iftikhar Ahmed ,not out,22,10,18,4,0,220,not out,8
Afghanistan Vs India,Afghanistan,1,Rahmanullah Gurbaz †,c Thakur b Pandya,21,28,65,3,1,75,out,9
Afghanistan Vs India,Afghanistan,2,Ibrahim Zadran ,c †Rahul b Bumrah,22,28,31,4,0,78.57,out,9
Afghanistan Vs India,Afghanistan,3,Rahmat Shah ,lbw b Thakur,16,22,37,3,0,72.72,out,9
Afghanistan Vs India,Afghanistan,4,Hashmatullah Shahidi (c),lbw b Kuldeep Yadav,80,88,128,8,1,90.9,out,9
Afghanistan Vs India,Afghanistan,5,Azmatullah Omarzai ,b Pandya,62,69,82,2,4,89.85,out,9
Afghanistan Vs India,Afghanistan,6,Mohammad Nabi ,lbw b Bumrah,19,27,52,1,0,70.37,out,9
Afghanistan Vs India,Afghanistan,7,Najibullah Zadran ,c Kohli b Bumrah,2,8,6,0,0,25,out,9
Afghanistan Vs India,Afghanistan,8,Rashid Khan ,c Kuldeep Yadav b Bumrah,16,12,18,1,1,133.33,out,9
Afghanistan Vs India,Afghanistan,9,Mujeeb Ur Rahman ,not out,10,12,22,2,0,83.33,not out,9
Afghanistan Vs India,Afghanistan,10,Naveen-ul-Haq ,not out,9,8,8,1,0,112.5,not out,9
Afghanistan Vs India,India,1,Rohit Sharma (c),b Rashid Khan,131,84,111,16,5,155.95,out,9
Afghanistan Vs India,India,2,Ishan Kishan ,c Ibrahim Zadran b Rashid Khan,47,47,78,5,2,100,out,9
Afghanistan Vs India,India,3,Virat Kohli ,not out,55,56,64,6,0,98.21,not out,9
Afghanistan Vs India,India,4,Shreyas Iyer ,not out,25,23,31,1,1,108.69,not out,9
South Africa Vs Australia,South Africa,1,Quinton de Kock †,b Maxwell,109,106,147,8,5,102.83,out,10
South Africa Vs Australia,South Africa,2,Temba Bavuma (c),c Warner b Maxwell,35,55,84,2,0,63.63,out,10
South Africa Vs Australia,South Africa,3,Rassie van der Dussen ,c sub (SA Abbott) b Zampa,26,30,33,2,0,86.66,out,10
South Africa Vs Australia,South Africa,4,Aiden Markram ,c Hazlewood b Cummins,56,44,61,7,1,127.27,out,10
South Africa Vs Australia,South Africa,5,Heinrich Klaasen ,c †Inglis b Hazlewood,29,27,40,3,0,107.4,out,10
South Africa Vs Australia,South Africa,6,David Miller ,b Starc,17,13,35,1,1,130.76,out,10
South Africa Vs Australia,South Africa,7,Marco Jansen ,c Warner b Starc,26,22,25,3,1,118.18,out,10
South Africa Vs Australia,South Africa,8,Kagiso Rabada ,not out,0,1,4,0,0,0,not out,10
South Africa Vs Australia,South Africa,9,Keshav Maharaj ,not out,0,2,1,0,0,0,not out,10
South Africa Vs Australia,Australia,1,Mitchell Marsh ,c Bavuma b Jansen,7,15,27,0,0,46.66,out,10
South Africa Vs Australia,Australia,2,David Warner ,c van der Dussen b Ngidi,13,27,33,2,0,48.14,out,10
South Africa Vs Australia,Australia,3,Steven Smith ,lbw b Rabada,19,16,20,4,0,118.75,out,10
South Africa Vs Australia,Australia,4,Marnus Labuschagne ,c Bavuma b Maharaj,46,74,125,3,0,62.16,out,10
South Africa Vs Australia,Australia,5,Josh Inglis †,b Rabada,5,4,5,1,0,125,out,10
South Africa Vs Australia,Australia,6,Glenn Maxwell ,c & b Maharaj,3,17,17,0,0,17.64,out,10
South Africa Vs Australia,Australia,7,Marcus Stoinis ,c †de Kock b Rabada,5,4,6,1,0,125,out,10
South Africa Vs Australia,Australia,8,Mitchell Starc ,c †de Kock b Jansen,27,51,69,3,0,52.94,out,10
South Africa Vs Australia,Australia,9,Pat Cummins (c),c Miller b Shamsi,22,21,29,4,0,104.76,out,10
South Africa Vs Australia,Australia,10,Adam Zampa ,not out,11,16,25,1,0,68.75,not out,10
South Africa Vs Australia,Australia,11,Josh Hazlewood ,c Rabada b Shamsi,2,2,1,0,0,100,out,10
Bangladesh Vs New Zealand,Bangladesh,1,Litton Das ,c Henry b Boult,0,1,1,0,0,0,out,11
Bangladesh Vs New Zealand,Bangladesh,2,Tanzid Hasan ,c Conway b Ferguson,16,17,37,4,0,94.11,out,11
Bangladesh Vs New Zealand,Bangladesh,3,Mehidy Hasan Miraz ,c Henry b Ferguson,30,46,52,4,0,65.21,out,11
Bangladesh Vs New Zealand,Bangladesh,4,Najmul Hossain Shanto ,c Conway b Phillips,7,8,20,1,0,87.5,out,11
Bangladesh Vs New Zealand,Bangladesh,5,Shakib Al Hasan (c),c †Latham b Ferguson,40,51,75,3,2,78.43,out,11
Bangladesh Vs New Zealand,Bangladesh,6,Mushfiqur Rahim †,b Henry,66,75,93,6,2,88,out,11
Bangladesh Vs New Zealand,Bangladesh,7,Towhid Hridoy ,c Santner b Boult,13,25,30,0,0,52,out,11
Bangladesh Vs New Zealand,Bangladesh,8,Mahmudullah ,not out,41,49,58,2,2,83.67,not out,11
Bangladesh Vs New Zealand,Bangladesh,9,Taskin Ahmed ,c Mitchell b Santner,17,19,25,0,2,89.47,out,11
Bangladesh Vs New Zealand,Bangladesh,10,Mustafizur Rahman ,c †Latham b Henry,4,10,14,0,0,40,out,11
Bangladesh Vs New Zealand,New Zealand,,,,,,,,,,out,11
Bangladesh Vs New Zealand,New Zealand,1,Devon Conway ,lbw b Shakib Al Hasan,45,59,91,3,0,76.27,out,11
Bangladesh Vs New Zealand,New Zealand,2,Rachin Ravindra ,c †Mushfiqur Rahim b Mustafizur Rahman,9,13,12,2,0,69.23,out,11
Bangladesh Vs New Zealand,New Zealand,3,Kane Williamson (c),retired hurt,78,107,158,8,1,72.89,out,11
Bangladesh Vs New Zealand,New Zealand,4,Daryl Mitchell ,not out,89,67,103,6,4,132.83,not out,11
Bangladesh Vs New Zealand,New Zealand,5,Glenn Phillips ,not out,16,11,22,1,1,145.45,not out,11
Pakistan Vs India,Pakistan,1,Abdullah Shafique ,lbw b Mohammed Siraj,20,24,39,3,0,83.33,out,12
Pakistan Vs India,Pakistan,2,Imam-ul-Haq ,c †Rahul b Pandya,36,38,64,6,0,94.73,out,12
Pakistan Vs India,Pakistan,3,Babar Azam (c),b Mohammed Siraj,50,58,89,7,0,86.2,out,12
Pakistan Vs India,Pakistan,4,Mohammad Rizwan †,b Bumrah,49,69,89,7,0,71.01,out,12
Pakistan Vs India,Pakistan,5,Saud Shakeel ,lbw b Kuldeep Yadav,6,10,12,0,0,60,out,12
Pakistan Vs India,Pakistan,6,Iftikhar Ahmed ,b Kuldeep Yadav,4,4,2,1,0,100,out,12
Pakistan Vs India,Pakistan,7,Shadab Khan ,b Bumrah,2,5,11,0,0,40,out,12
Pakistan Vs India,Pakistan,8,Mohammad Nawaz ,c Bumrah b Pandya,4,14,25,0,0,28.57,out,12
Pakistan Vs India,Pakistan,9,Hasan Ali ,c Shubman Gill b Jadeja,12,19,21,2,0,63.15,out,12
Pakistan Vs India,Pakistan,10,Shaheen Shah Afridi ,not out,2,10,12,0,0,20,not out,12
Pakistan Vs India,Pakistan,11,Haris Rauf ,lbw b Jadeja,2,6,9,0,0,33.33,out,12
Pakistan Vs India,India,1,Rohit Sharma (c),c Iftikhar Ahmed b Shaheen Shah Afridi,86,63,91,6,6,136.5,out,12
Pakistan Vs India,India,2,Shubman Gill ,c Shadab Khan b Shaheen Shah Afridi,16,11,11,4,0,145.45,out,12
Pakistan Vs India,India,3,Virat Kohli ,c Mohammad Nawaz b Hasan Ali,16,18,31,3,0,88.88,out,12
Pakistan Vs India,India,4,Shreyas Iyer ,not out,53,62,80,3,2,85.48,not out,12
Pakistan Vs India,India,5,KL Rahul †,not out,19,29,33,2,0,65.51,not out,12
Afghanistan Vs England,Afghanistan,1,Rahmanullah Gurbaz ,run out (sub [DJ Willey]/†Buttler),80,57,87,8,4,140.35,out,13
Afghanistan Vs England,Afghanistan,2,Ibrahim Zadran ,c Root b Rashid,28,48,73,3,0,58.33,out,13
Afghanistan Vs England,Afghanistan,3,Rahmat Shah ,st †Buttler b Rashid,3,8,10,0,0,37.5,out,13
Afghanistan Vs England,Afghanistan,4,Hashmatullah Shahidi (c),b Root,14,36,46,0,0,38.88,out,13
Afghanistan Vs England,Afghanistan,5,Azmatullah Omarzai ,c Woakes b Livingstone,19,24,25,1,1,79.16,out,13
Afghanistan Vs England,Afghanistan,6,Ikram Alikhil †,c Curran b Topley,58,66,92,3,2,87.87,out,13
Afghanistan Vs England,Afghanistan,7,Mohammad Nabi ,c Root b Wood,9,15,14,1,0,60,out,13
